| Title                          | English Title                  | Year      | Status        | Personal Rating | Online Rating | Sub Type | Type   | Aired From | Aired To   | Airing | Alternate Titles | Current Episode | Data Source | Date Completed | Date Started | Duration      | Episodes | Favorite | Franchise                  | Genres                                      | Id         | Image                                                                                                                                   | Last Watched | Plot                                                                                                                                                                                                                                                                                                                                                                                                                   | Prequel | Released | Rewatch Count | Sequel | Streaming Services | Studio                            | Tags                                                              | Url                                    | Watched | Writer                                                | Body Text                                                                                                                                                                                                                                                                                                                                                                                                              |
| House of the Dragon            | House of the Dragon            |   2022–   |   Completed   |      ★ 8/10     |     ★ 8.3     |  series  | series | 08/21/2022 |  unknown   |  true  | -                |        0        | OMDbAPI     |       -        |      -       |      N/A      |    26    |  false   | -                          | Action, Adventure, Drama                    | tt11198330 | https://m.media-amazon.com/images/M/MV5BZGM4MTczODQtNGIxOC00Y2U2LTk1YmItNzA2N2VhYmE0Y2YwXkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg  |      -       | An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.                                                                                                                                                                                                                                                                                        | -       |   true   |       0       | -      | -                  | -                                 | genre/Action, genre/Adventure, genre/Drama                        | https://www.imdb.com/title/tt11198330/ |   true  | Ryan J. Condal, George R.R. Martin                    | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Kota Factory                   | Kota Factory                   | 2019–2021 |   Completed   |      ★ 8/10     |      ★ 9      |  series  | series | 08/28/2021 |  unknown   | false  | -                |        0        | OMDbAPI     |       -        |      -       |     45 min    |    15    |  false   | -                          | Comedy, Drama                               | tt9432978  | https://m.media-amazon.com/images/M/MV5BY2U5MjY1NWEtZDI2MS00NTlhLWEyODQtYzE0MzY3NDUyNzE3XkEyXkFqcGc@._V1_SX300.jpg                      |      -       | In a city of coaching centers known to train India’s finest collegiate minds, an earnest but unexceptional student and his friends navigate campus life.                                                                                                                                                                                                                                                               | -       |   true   |       0       | -      | -                  | -                                 | genre/Comedy, genre/Drama                                         | https://www.imdb.com/title/tt9432978/  |   true  | Saurabh Khanna, Arunabh Kumar, Raghav Subbu           | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Mirzapur                       | Mirzapur                       |   2018–   |   Completed   |      ★ 6/10     |     ★ 8.4     |  series  | series | 11/15/2018 |  unknown   |  true  | -                |        0        | OMDbAPI     |       -        |      -       |     60 min    |    29    |  false   | -                          | Action, Crime, Thriller                     | tt6473300  | https://m.media-amazon.com/images/M/MV5BZTFjMzMxZTUtYTMyNy00OWNhLTk4ODQtNGI1NjI1NjJhMzc3XkEyXkFqcGc@._V1_SX300.jpg                      |      -       | A shocking incident at a wedding procession ignites a series of events entangling the lives of two families in the lawless city of Mirzapur.                                                                                                                                                                                                                                                                           | -       |   true   |       0       | -      | -                  | -                                 | genre/Action, genre/Crime, genre/Thriller                         | https://www.imdb.com/title/tt6473300/  |   true  | Puneet Krishna, Karan Anshuman, Apurva Dhar Badgaiyan | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Narcos                         | Narcos                         | 2015–2017 |    Dropped    |      ★ 6/10     |     ★ 8.7     |  series  | series | 08/28/2015 |  unknown   | false  | -                |        8        | OMDbAPI     |       -        |      -       |     49 min    |    30    |  false   | -                          | Biography, Crime, Drama                     | tt2707408  | https://m.media-amazon.com/images/M/MV5BNzQwOTcwMzIwN15BMl5BanBnXkFtZTgwMjYxMTA0NjE@._V1_SX300.jpg                                      |      -       | A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.                                                                                                                                                                                                                                                    | -       |   true   |       0       | -      | -                  | -                                 | genre/Biography, genre/Crime, genre/Drama                         | https://www.imdb.com/title/tt2707408/  |  false  | Carlo Bernard, Chris Brancato, Doug Miro              | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Ozark                          | Ozark                          | 2017–2022 |    Dropped    |      ★ 8/10     |     ★ 8.4     |  series  | series | 07/21/2017 |  unknown   | false  | -                |        30       | OMDbAPI     |       -        |      -       |     60 min    |    40    |  false   | -                          | Crime, Drama, Thriller                      | tt5071412  | https://m.media-amazon.com/images/M/MV5BZDk1ZTdjOWItNTJmYS00MGIzLThmY2ItZWNiOGY5MzJlNTA5XkEyXkFqcGc@._V1_SX300.jpg                      |      -       | A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.                                                                                                                                                                                                                                                                                          | -       |   true   |       0       | -      | -                  | -                                 | genre/Crime, genre/Drama, genre/Thriller                          | https://www.imdb.com/title/tt5071412/  |  false  | Bill Dubuque, Mark Williams                           | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Panchayat                      | Panchayat                      |   2020–   |   Completed   |      ★ 9/10     |      ★ 9      |  series  | series | 03/05/2020 |  unknown   |  true  | -                |        0        | OMDbAPI     |       -        |      -       |     35 min    |    32    |  false   | -                          | Comedy, Drama                               | tt12004706 | https://m.media-amazon.com/images/M/MV5BYzkwZGNkYTctZDc2MS00OWM2LWI2NTUtMTM2ZGMzMTY0N2Q1XkEyXkFqcGc@._V1_SX300.jpg                      |      -       | A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.                                                                                                                                                                                                                     | -       |   true   |       0       | -      | -                  | -                                 | genre/Comedy, genre/Drama                                         | https://www.imdb.com/title/tt12004706/ |   true  | Chandan Kumar, Deepak Kumar Mishra                    | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Peaky Blinders                 | Peaky Blinders                 | 2013–2022 |   Completed   |      ★ 6/10     |     ★ 8.7     |  series  | series | 09/30/2014 |  unknown   | false  | -                |        6        | OMDbAPI     |       -        |      -       |     60 min    |    36    |  false   | -                          | Crime, Drama                                | tt2442560  | https://m.media-amazon.com/images/M/MV5BOGM0NGY3ZmItOGE2ZC00OWIxLTk0N2EtZWY4Yzg3ZDlhNGI3XkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg  |      -       | A gangster family epic set in 1919 Birmingham, England; centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.                                                                                                                                                                                                                                                        | -       |   true   |       0       | -      | -                  | -                                 | genre/Crime, genre/Drama                                          | https://www.imdb.com/title/tt2442560/  |   true  | Steven Knight                                         | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Sherlock                       | Sherlock                       | 2010–2017 | Plan to Watch |        -        |      ★ 9      |  series  | series | 10/24/2010 |  unknown   | false  | -                |        0        | OMDbAPI     |       -        |      -       |     88 min    |    0     |  false   | -                          | Crime, Drama, Mystery                       | tt1475582  | https://m.media-amazon.com/images/M/MV5BNTQzNGZjNDEtOTMwYi00MzFjLWE2ZTYtYzYxYzMwMjZkZDc5XkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg  |      -       | In modern-day London, brilliant but eccentric detective Sherlock Holmes teams with war veteran Dr. John Watson to crack baffling crimes, outwit formidable foes, and aid Scotland Yard with razor-sharp deduction.                                                                                                                                                                                                     | -       |   true   |       0       | -      | -                  | -                                 | genre/Crime, genre/Drama, genre/Mystery                           | https://www.imdb.com/title/tt1475582/  |  false  | Mark Gatiss, Steven Moffat                            | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Shogun                         | Shogun                         | 2024–2026 |   Completed   |      ★ 7/10     |     ★ 8.6     |  series  | series | 02/27/2024 |  unknown   | false  | -                |        0        | OMDbAPI     |       -        |      -       |      N/A      |    10    |  false   | -                          | Action, Adventure, Drama                    | tt2788316  | https://m.media-amazon.com/images/M/MV5BZmJkMDRjYzEtMWI3Ny00OWE3LWJlNTItMGQ1MTQzMzc3NDY5XkEyXkFqcGc@._V1_SX300.jpg                      |      -       | When a mysterious European ship is found marooned in a nearby Japanese fishing village, Lord Yoshii Toranaga discovers secrets that could tip the scales of power and devastate his enemies.                                                                                                                                                                                                                           | -       |   true   |       0       | -      | -                  | -                                 | genre/Action, genre/Adventure, genre/Drama                        | https://www.imdb.com/title/tt2788316/  |   true  | James Clavell (based on the novel by)                 | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| Stranger Things                | Stranger Things                | 2016–2025 |   Completed   |      ★ 7/10     |     ★ 8.6     |  series  | series | 07/15/2016 |  unknown   | false  | -                |        0        | OMDbAPI     |       -        |      -       |     51 min    |    42    |  false   | -                          | Drama, Fantasy, Horror                      | tt4574334  | https://m.media-amazon.com/images/M/MV5BNjRiMTA4NWUtNmE0ZC00NGM0LWJhMDUtZWIzMDM5ZDIzNTg3XkEyXkFqcGc@._V1_QL75_UY562_CR35,0,380,562_.jpg |      -       | In 1980s Indiana, a group of young friends witness supernatural forces and secret government exploits. As they search for answers, the children unravel a series of extraordinary mysteries.                                                                                                                                                                                                                           | -       |   true   |       0       | -      | -                  | -                                 | genre/Drama, genre/Fantasy, genre/Horror                          | https://www.imdb.com/title/tt4574334/  |   true  | Matt Duffer, Ross Duffer                              | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| The Boys                       | The Boys                       | 2019–2026 |   Completed   |      ★ 7/10     |     ★ 8.6     |  series  | series | 07/26/2019 |  unknown   | false  | -                |        0        | OMDbAPI     |       -        |      -       |     60 min    |    40    |  false   | -                          | Action, Comedy, Crime                       | tt1190634  | https://m.media-amazon.com/images/M/MV5BZjU4OWNiYzQtMzc1NS00NjZlLTgyYTctZWY4ZmEzMTkxYjA4XkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg  |      -       | A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.                                                                                                                                                                                                                                                                                                                            | -       |   true   |       0       | -      | -                  | -                                 | genre/Action, genre/Comedy, genre/Crime                           | https://www.imdb.com/title/tt1190634/  |   true  | Eric Kripke                                           | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
| The Witcher                    | The Witcher                    |   2019–   |    Dropped    |        -        |     ★ 7.9     |  series  | series | 12/20/2019 |  unknown   |  true  | -                |        16       | OMDbAPI     |       -        |      -       |     60 min    |    32    |  false   | [[The Witcher Franchise]]  | Action, Adventure, Drama                    | tt5180504  | https://m.media-amazon.com/images/M/MV5BOTQzMzNmMzUtODgwNS00YTdhLTg5N2MtOWU1YTc4YWY3NjRlXkEyXkFqcGc@._V1_SX300.jpg                      |      -       | Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.                                                                                                                                                                                                                                                                                   | -       |   true   |       0       | -      | -                  | -                                 | genre/Action, genre/Adventure, genre/Drama                        | https://www.imdb.com/title/tt5180504/  |   true  | Lauren Schmidt Hissrich                               | -                                                                                                                                                                                                                                                                                                                                                                                                                      |
