| Title                                                                      | English Title                                                                       | Year    | Status        | Personal Rating | Online Rating | Sub Type    | Type  | Actors                                                     | Alternate Titles                                                                                                                                                                                                                                                                               | Data Source | Date Completed | Date Started | Director            | Duration      | Episodes | Favorite | Franchise                              | Genres                                                   | Id         | Image                                                                                                                                   | Last Watched | Plot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  | Premiere   | Prequel | Released | Rewatch Count | Sequel | Streaming Services               | Studio                 | Tags                                                                                         | Url                                                                                                             | Watched | Writer                                             |
| Shin Evangelion Movie:||                                                   | Evangelion: 3.0+1.0 Thrice Upon a Time                                              |   2021  |   Completed   |     ★ 10/10     |     ★ 8.58    | anime-movie | movie | -                                                          | Rebuild of Evangelion: Final, Rebuild of Evangelion, シン・エヴァンゲリオン劇場版𝄇, Shin Evangelion Movie:||, Evangelion: 3.0+1.0 Thrice Upon a Time, Shin Evangelion Gekijouban𝄇, Evangelion: 4.0                                                                                                           | MALAPI      |       -        |      -       | -                   |  2 hr 35 min  |    1     |  false   | [[Evangelion Franchise]]               | Award Winning, Drama, Sci-Fi, Suspense                   |    3786    | https://cdn.myanimelist.net/images/anime/1422/113533.jpg                                                                                |      -       | Following NERV's failed attempt to retrieve the Spears of Longinus and carry out the Human Instrumentality Project, the destruction caused by the Fourth Impact has been largely averted. In a state of disarray, Shinji Ikari, Asuka Langley Shikinami, and Rei Ayanami travel to Village 3—a survivor settlement free from Earth's ruination. There, Shinji slowly comes to terms with his past, developing an entirely different life from his days as an Evangelion pilot. Meanwhile, NERV makes preparations to continue the Instrumentality Project by means of a new Impact. When WILLE's main aerial battleship arrives at the village, Shinji decides to board, believing that he can help by piloting an Evangelion. As new secrets are uncovered and a battle between WILLE and NERV approaches, the future of Earth hangs in the balance. Can Shinji save humanity and the rest of the world one last time? [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                      |  3/8/2021  | -       |   true   |       0       | -      | -                                | Khara                  | genre/Award-Winning, genre/Drama, genre/Sci-Fi, genre/Suspense                               | https://myanimelist.net/anime/3786/Shin_Evangelion_Movie_-||                                                    |   true  | -                                                  |
| Fight Club                                                                 | Fight Club                                                                          |   1999  |   Completed   |      ★ 6/10     |     ★ 8.8     |      -      | movie | Brad Pitt, Edward Norton, Meat Loaf                        | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | David Fincher       |    139 min    |    1     |  false   | -                                      | Crime, Drama, Thriller                                   | tt0137523  | https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_QL75_UX380_CR0,4,380,562_.jpg  |      -       | An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                | 10/15/1999 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Crime, genre/Drama, genre/Thriller                                                     | https://www.imdb.com/title/tt0137523/                                                                           |   true  | Chuck Palahniuk, Jim Uhls                          |
| Fullmetal Alchemist: The Conqueror of Shamballa                            | Fullmetal Alchemist: The Movie - Conqueror of Shamballa                             |   2005  |   Completed   |      ★ 6/10     |     ★ 7.5     | anime-movie | movie | -                                                          | Gekijyouban Hagane no Renkinjutsushi - Shanbara wo Yuku Mono, 劇場版 鋼の錬金術師 シャンバラを征く者, FMA Movie, Fullmetal Alchemist the Movie: Conqueror of Shamballa, Fullmetal Alchemist: The Conqueror of Shamballa, Fullmetal Alchemist: The Movie - Conqueror of Shamballa                                 | MALAPI      |       -        |      -       | -                   |  1 hr 44 min  |    1     |  false   | [[Fullmetal Alchemist Franchise]]      | Action, Adventure, Award Winning, Drama, Fantasy         |    430     | https://cdn.myanimelist.net/images/anime/1707/94039.jpg                                                                                 |      -       | In desperation, Edward Elric sacrificed his body and soul to rescue his brother Alphonse, and is now displaced in the heart of Munich, Germany. He struggles to adapt to a world completely foreign to him in the wake of the economic crisis that followed the end of World War I. Isolated and unable to return home with his alchemy skills, Edward continues to research other methods of escaping the prison alongside colleagues who bear striking resemblances to many of the people he left behind. As dissent brews among the German citizenry, its neighbors also feel the unrest of the humiliated nation. Meanwhile, Alphonse continues to investigate Edward's disappearance, delving into the science of alchemy in the hopes of finally reuniting with his older brother. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                                                                     | 7/23/2005  | -       |   true   |       0       | -      | Crunchyroll                      | Bones                  | genre/Action, genre/Adventure, genre/Award-Winning, genre/Drama, genre/Fantasy               | https://myanimelist.net/anime/430/Fullmetal_Alchemist_-_The_Conqueror_of_Shamballa                              |   true  | -                                                  |
| Fullmetal Alchemist: The Sacred Star of Milos                              | Fullmetal Alchemist: The Sacred Star of Milos                                       |   2011  |   Completed   |      ★ 4/10     |     ★ 7.26    | anime-movie | movie | -                                                          | Hagane no Renkinjutsushi Movie 2, FMA Movie 2, Fullmetal Alchemist: Milos no Seinaru Hoshi, Fullmetal Alchemist Movie 2, 劇場版 鋼の錬金術師 嘆きの丘(ミロス)の聖なる星, Fullmetal Alchemist: The Sacred Star of Milos                                                                                              | MALAPI      |       -        |      -       | -                   |  1 hr 50 min  |    1     |  false   | [[Fullmetal Alchemist Franchise]]      | Action, Adventure, Drama, Fantasy                        |    9135    | https://cdn.myanimelist.net/images/anime/1217/152912.jpg                                                                                |      -       | Chasing a runaway alchemist with strange powers, brothers Edward and Alphonse Elric stumble into the squalid valley of the Milos. The Milosians are an oppressed group that seek to reclaim their holy land from Creta: a militaristic country that forcefully annexed their nation. In the eye of the political storm is a girl named Julia Crichton, who emphatically wishes for the Milos to regain their strength and return to being a nation of peace. Befriending the girl, Edward and Alphonse find themselves in the midst of a rising resistance that involves the use of the very object they have been seeking all along—the Philosopher's Stone. However, their past experiences with the stone cause them reservation, and the brothers are unwilling to help. But as they discover the secrets behind Creta's intentions and questionable history, the brothers are drawn into the battle between the rebellious Milos, who desire their liberty, and the Cretan military, who seek absolute power. [Written by MAL Rewrite]                                                                                                                                                                                                                           |  7/2/2011  | -       |   true   |       0       | -      | -                                | Bones                  | genre/Action, genre/Adventure, genre/Drama, genre/Fantasy                                    | https://myanimelist.net/anime/9135/Fullmetal_Alchemist_-_The_Sacred_Star_of_Milos                               |   true  | -                                                  |
| Gintama: The Final                                                         | Gintama: The Very Final                                                             |   2021  |   Completed   |        -        |     ★ 9.05    | anime-movie | movie | -                                                          | 銀魂 THE FINAL, Gintama: The Very Final, Gintama: The Final                                                                                                                                                                                                                                      | MALAPI      |       -        |      -       | -                   |  1 hr 44 min  |    1     |  false   | [[Gintama Franchise]]                  | Action, Comedy, Drama, Sci-Fi                            |   39486    | https://cdn.myanimelist.net/images/anime/1245/116760.jpg                                                                                |      -       | Two years have passed following the Tendoshuu's invasion of the O-Edo Central Terminal. Since then, the Yorozuya have gone their separate ways. Foreseeing Utsuro's return, Gintoki Sakata begins surveying Earth's ley lines for traces of the other man's Altana. After an encounter with the remnants of the Tendoshuu—who continue to press on in search of immortality—Gintoki returns to Edo. Later, the regrouped Shinsengumi and Yorozuya begin an attack on the occupied Central Terminal. With the Altana harvested by the wreckage of the Tendoshuu's ship in danger of detonating, the Yorozuya and their allies fight their enemies while the safety of Edo—and the rest of the world—hangs in the balance. Fulfilling the wishes of their teacher, Shouyou Yoshida's former students unite and relive their pasts one final time in an attempt to save their futures. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                          |  1/8/2021  | -       |   true   |       0       | -      | Crunchyroll, Shahid              | Bandai Namco Pictures  | genre/Action, genre/Comedy, genre/Drama, genre/Sci-Fi                                        | https://myanimelist.net/anime/39486/Gintama_-_The_Final                                                         |   true  | -                                                  |
| Hotaru no Haka                                                             | Grave of the Fireflies                                                              |   1988  |   Completed   |      ★ 7/10     |     ★ 8.54    | anime-movie | movie | -                                                          | Hotaru no Haka, Tombstone for Fireflies, 火垂るの墓, Grave of the Fireflies                                                                                                                                                                                                                         | MALAPI      |       -        |      -       | -                   |  1 hr 28 min  |    1     |  false   | -                                      | Drama                                                    |    578     | https://cdn.myanimelist.net/images/anime/1485/141208.jpg                                                                                |      -       | As World War II reaches its conclusion in 1945, Japan faces widespread destruction in the form of American bombings, devastating city after city. Hotaru no Haka, also known as Grave of the Fireflies, is the story of Seita and his sister Setsuko, two Japanese children whose lives are ravaged by the brutal war. They have lost their mother, their father, their home, and the prospect of a bright future—all tragic consequences of the war. Now orphaned and homeless, Seita and Setsuko have no choice but to drift across the countryside, beset by starvation and disease. Met with the apathy of adults along the way, they find that desperate circumstances can turn even the kindest of people cruel yet their youthful hope shines brightly in the face of unrelenting hardship, preventing the siblings from swiftly succumbing to an inevitable fate. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                    | 4/16/1988  | -       |   true   |       0       | -      | -                                | Studio Ghibli          | genre/Drama                                                                                  | https://myanimelist.net/anime/578/Hotaru_no_Haka                                                                |   true  | -                                                  |
| Haikyuu!! Movie: Gomisuteba no Kessen                                      | Haikyu!! Movie: The Dumpster Battle                                                 |   2024  |   Completed   |        -        |     ★ 8.62    | anime-movie | movie | -                                                          | 劇場版ハイキュー!! ゴミ捨て場の決戦, Haikyu!! Final Movie, Haikyu!! Movie: The Dumpster Battle, Haikyuu!! Movie: Gomisuteba no Kessen                                                                                                                                                                          | MALAPI      |       -        |      -       | -                   |  1 hr 24 min  |    1     |  false   | [[Haikyu Franchise]]                   | Sports                                                   |   52742    | https://cdn.myanimelist.net/images/anime/1665/140360.jpg                                                                                |      -       | Kenma Kozume has never considered volleyball fun or thrilling: it is merely something he is good at. But now Nekoma High School's volleyball team has qualified for the Spring Nationals and prepares to battle their long-standing rivals—Karasuno. Now, Kenma has to analyze the most confounding and resilient team and lead Nekoma to victory against them. Moreover, he will play against his friend Shouyou Hinata, Karasuno's short but incredibly proficient middle blocker. Karasuno has never been able to beat Nekoma in practice matches. Even so, despite his usual indifference, Kenma feels a tinge of excitement at the prospect of facing Karasuno in a high-stakes official game with no do-overs. To advance to the semifinals and ultimately restore their team's former glory, Karasuno must find a way to overcome Kenma's brilliant strategy and defeat Nekoma in their own territory. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                | 2/16/2024  | -       |   true   |       0       | -      | Crunchyroll                      | Production I.G         | genre/Sports                                                                                 | https://myanimelist.net/anime/52742/Haikyuu!!_Movie_-_Gomisuteba_no_Kessen                                      |   true  | -                                                  |
| Haikyuu!! Movie 4: Concept no Tatakai                                      | Haikyu!! The Movie: Battle of Concepts                                              |   2017  |   Completed   |      ★ 7/10     |     ★ 8.27    | anime-movie | movie | -                                                          | Haikyu!! The Movie: Battle of Concepts, High Kyuu!! Movie 4: Haikyuu!! Movie 4: Battle of Concepts, ハイキュー!! コンセプトの戦い, Haikyuu!! Recap 4, Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou Recap, Haikyuu!! Movie 4: Concept no Tatakai                                                | MALAPI      |       -        |      -       | -                   |  1 hr 28 min  |    1     |  false   | [[Haikyu Franchise]]                   | Sports                                                   |   35111    | https://cdn.myanimelist.net/images/anime/1854/147254.jpg                                                                                |      -       | The long-awaited finals of the Spring Tournament have arrived for Karasuno High School's volleyball team. The winner of the match will go on to represent all of Miyagi Prefecture at the National Tournament. However, the last challenge Karasuno must overcome is to win against Shiratorizawa Academy, the school that houses Wakatoshi Ushijima, one of Japan's top three aces. Shiratorizawa is the reigning Miyagi champion for the past three years, and Karasuno seems to have little chance at dethroning them. When the other school's captain Ushijima insults Karasuno to their faces, freshmen duo Shouyou Hinata and Tobio Kageyama swear to defeat them and steal their spot in the nationals. Against a roster full of nationally-ranked players, the former flightless crows will have to use everything in their arsenal if they want to represent Miyagi. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                | 9/29/2017  | -       |   true   |       0       | -      | Netflix                          | Production I.G         | genre/Sports                                                                                 | https://myanimelist.net/anime/35111/Haikyuu!!_Movie_4_-_Concept_no_Tatakai                                      |   true  | -                                                  |
| Haikyuu!! Movie 3: Sainou to Sense                                         | Haikyu!! The Movie: Talent and Sense                                                |   2017  |   Completed   |      ★ 7/10     |     ★ 8.21    | anime-movie | movie | -                                                          | Haikyu!! The Movie: Talent and Sense, High Kyuu!! Movie 3, Haikyuu!! Movie 3: Sainou to Sense, ハイキュー!! 才能とセンス, Haikyuu!! Second Season Recap, Haikyuu!! Recap 3, Haikyuu!! Movie 3: Genius and Sense                                                                                           | MALAPI      |       -        |      -       | -                   |  1 hr 29 min  |    1     |  false   | [[Haikyu Franchise]]                   | Sports                                                   |   35110    | https://cdn.myanimelist.net/images/anime/1034/147253.jpg                                                                                |      -       | Following the events of the Inter-High, the Karasuno High School volleyball team decides to regroup by attending an intensive boot camp organized by Nekoma High School in Tokyo. At the camp, the team continues to suffer loss upon loss to the other schools in attendance. Reaching an impasse, the players each struggle to break out of their routine to hone their skills. For the team's setter-and-ace duo Shouyou Hinata and Tobio Kageyama, the frustrations cause them to falter more than anyone else. While Hinata develops his own playstyle, his recklessness leads him to fall out of sync with Kageyama's sets and earns his partner's ire instead. As they search for an answer to their woes, the two find what they are lacking from two unlikely people. Will it be enough for the team to overcome their rut? [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                         | 9/15/2017  | -       |   true   |       0       | -      | Netflix                          | Production I.G         | genre/Sports                                                                                 | https://myanimelist.net/anime/35110/Haikyuu!!_Movie_3_-_Sainou_to_Sense                                         |   true  | -                                                  |
| Haikyuu!! Movie 1: Owari to Hajimari                                       | Haikyu!! the Movie: The End and the Beginning                                       |   2015  |   Completed   |      ★ 7/10     |     ★ 8.12    | anime-movie | movie | -                                                          | High Kyuu!! Movie 1, Haikyu!! the Movie: The End and the Beginning, Haikyuu!! Movie 1: Owari to Hajimari, Haikyuu!! Recap, ハイキュー!! 終わりと始まり                                                                                                                                                     | MALAPI      |       -        |      -       | -                   |  1 hr 29 min  |    1     |  false   | [[Haikyu Franchise]]                   | Sports                                                   |   29755    | https://cdn.myanimelist.net/images/anime/8/76011.jpg                                                                                    |      -       | After watching a volleyball match on TV where the "Little Giant" of Karasuno High School helps his team secure a hard-fought victory, young and impressionable Shouyou Hinata begins to play the sport in hopes that he too can soar high one day. Now enrolled at the same school as his idol, he attempts to join the volleyball team despite his short stature. Unfortunately, upon his arrival, Hinata locks eyes with "King of the Court" Tobio Kageyama—a genius setter whom he had once suffered a bitter defeat to in middle school. Their unfriendly introduction and subsequent rivalry forces the rest of the Karasuno team to bar both of them from joining the club until they can learn to work together as teammates. Though reluctant to cooperate, their desire to play volleyball causes them to return with a proposal that will show the other members that they are capable of teamwork. As the two freshmen form an odd setter-and-ace relationship, an old rival school invites Karasuno for practice matches, reigniting competition between the two schools once more. [Written by MAL Rewrite]                                                                                                                                              |  7/3/2015  | -       |   true   |       0       | -      | Netflix                          | Production I.G         | genre/Sports                                                                                 | https://myanimelist.net/anime/29755/Haikyuu!!_Movie_1_-_Owari_to_Hajimari                                       |   true  | -                                                  |
| Haikyuu!! Movie 2: Shousha to Haisha                                       | Haikyuu!! the Movie: The Winner and the Loser                                       |   2015  |   Completed   |      ★ 7/10     |     ★ 8.12    | anime-movie | movie | -                                                          | Haikyuu!! Movie 2: Shousha to Haisha, Haikyuu!! Recap 2, High Kyuu!! Movie 2, ハイキュー!! 勝者と敗者, Haikyuu!! the Movie: The Winner and the Loser                                                                                                                                                     | MALAPI      |       -        |      -       | -                   |  1 hr 28 min  |    1     |  false   | [[Haikyu Franchise]]                   | Sports                                                   |   30364    | https://cdn.myanimelist.net/images/anime/2/74813.jpg                                                                                    |      -       | The Inter-High has finally arrived for Karasuno High School's volleyball team. Their opponent at the tournament is Date Tech High School—the team that crushed Karasuno the year prior. The loss brings back anxiety and fear for the team's second- and third-years as they were unable to overcome Date's "read block." With the dynamic freshmen duo Shouyou Hinata and Tobio Kageyama on their side, will Karasuno be able to overcome their past and break through the iron wall? Awaiting Karasuno in the next round is the elite Aoba Jousai High School, led by the cunning captain Tooru Oikawa. Coming from the same middle school as Kageyama, Oikawa is a talented and unpredictable setter with a grudge against his former teammate. It is a battle between genius setters to decide who will continue on in the Inter-High. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                                                                   | 9/18/2015  | -       |   true   |       0       | -      | Netflix                          | Production I.G         | genre/Sports                                                                                 | https://myanimelist.net/anime/30364/Haikyuu!!_Movie_2_-_Shousha_to_Haisha                                       |   true  | -                                                  |
| Homebound                                                                  | Homebound                                                                           |   2021  |   Completed   |     ★ 10/10     |     ★ 4.3     |      -      | movie | Aisling Loftus, Tom Goodman-Hill, Raffiella Chapman        | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Sebastian Godwin    |     71 min    |    1     |  false   | -                                      | Drama, Horror, Mystery                                   | tt4788734  | https://m.media-amazon.com/images/M/MV5BNzU4YzhlOTUtZjMyZC00MTYzLTgzNDAtZmNjZmNjNDY1YmMyXkEyXkFqcGc@._V1_SX300.jpg                      |      -       | A trip to the countryside turns out to be far from idyllic for a father and his new fiancée when his kids decide the house is a little too crowded.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   | 05/13/2022 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Drama, genre/Horror, genre/Mystery                                                     | https://www.imdb.com/title/tt4788734/                                                                           |   true  | Sebastian Godwin, Jon Gilbert                      |
| Kimi no Suizou wo Tabetai                                                  | I Want To Eat Your Pancreas                                                         |   2018  |   Completed   |      ★ 7/10     |     ★ 8.56    | anime-movie | movie | -                                                          | I Want To Eat Your Pancreas, 君の膵臓をたべたい, Let Me Eat Your Pancreas, KimiSui, Kimi no Suizou wo Tabetai                                                                                                                                                                                           | MALAPI      |       -        |      -       | -                   |  1 hr 48 min  |    1     |  false   | -                                      | Drama, Romance                                           |   36098    | https://cdn.myanimelist.net/images/anime/1768/93291.jpg                                                                                 |      -       | The aloof protagonist: a bookworm who is deeply detached from the world he resides in. He has no interest in others and is firmly convinced that nobody has any interest in him either. His story begins when he stumbles across a handwritten book, titled Living with Dying. He soon identifies it as a secret diary belonging to his popular, bubbly classmate Sakura Yamauchi. She then confides in him about the pancreatic disease she is suffering from and that her time left is finite. Only her family knows about her terminal illness; not even her best friends are aware. Despite this revelation, he shows zero sympathy for her plight, but caught in the waves of Sakura's persistent buoyancy, he eventually concedes to accompanying her for her remaining days. As the pair of polar opposites interact, their connection strengthens, interweaving through their choices made with each passing day. Her apparent nonchalance and unpredictability disrupts the protagonist's impassive flow of life, gradually opening his heart as he discovers and embraces the true meaning of living. [Written by MAL Rewrite]                                                                                                                              |  9/1/2018  | -       |   true   |       0       | -      | Netflix                          | Studio VOLN            | genre/Drama, genre/Romance                                                                   | https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai                                                   |   true  | -                                                  |
| Inception                                                                  | Inception                                                                           |   2010  |   Completed   |      ★ 7/10     |     ★ 8.8     |      -      | movie | Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page       | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Christopher Nolan   |    148 min    |    1     |  false   | -                                      | Action, Adventure, Sci-Fi                                | tt1375666  | https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_QL75_UX380_CR0,0,380,562_.jpg                  |      -       | A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | 07/16/2010 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Action, genre/Adventure, genre/Sci-Fi                                                  | https://www.imdb.com/title/tt1375666/                                                                           |   true  | Christopher Nolan                                  |
| Interstellar                                                               | Interstellar                                                                        |   2014  |   Completed   |      ★ 9/10     |     ★ 8.7     |      -      | movie | Matthew McConaughey, Anne Hathaway, Jessica Chastain       | -                                                                                                                                                                                                                                                                                              | OMDbAPI     |       -        |      -       | Christopher Nolan   |    169 min    |    1     |  false   | -                                      | Adventure, Drama, Sci-Fi                                 | tt0816692  | https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_QL75_UX380_CR0,0,380,562_.jpg  |      -       | When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        | 11/07/2014 | -       |   true   |       0       | -      | -                                | N/A                    | genre/Adventure, genre/Drama, genre/Sci-Fi                                                   | https://www.imdb.com/title/tt0816692/                                                                           |   true  | Jonathan Nolan, Christopher Nolan                  |
| Hotarubi no Mori e                                                         | Into the Forest of Fireflies' Light                                                 |   2011  |   Completed   |      ★ 6/10     |     ★ 8.26    | anime-movie | movie | -                                                          | The Light of a Firefly Forest, Hotarubi no Mori e, 蛍火の杜へ, Into the Forest of Fireflies' Light                                                                                                                                                                                                  | MALAPI      |       -        |      -       | -                   |     45 min    |    1     |  false   | -                                      | Award Winning, Drama, Romance, Supernatural              |   10408    | https://cdn.myanimelist.net/images/anime/1599/112267.jpg                                                                                |      -       | During a summer vacation at her grandfather’s house, six-year-old Hotaru Takegawa gets lost in a forest rumored to be inhabited by spirits. While crying out in desperation, Hotaru is approached by Gin—a mysterious boy wearing a mask—who offers to help her. Overjoyed at the sight of another person, Hotaru runs to Gin with open arms only to be rudely fended off. However, she quickly learns the grave reason behind his behavior: a dreadful curse has been cast upon Gin. Should he ever be touched by a human being, he will disappear forever. Though Gin urges her to never return, Hotaru does the exact opposite, and before too long, the two become close friends despite his delicate situation. Nonetheless, as years pass and their mutual feelings grow stronger, Hotaru and Gin start struggling with the boundaries that destiny has set between them. [Written by MAL Rewrite]                                                                                                                                                                                                                                                                                                                                                              | 9/17/2011  | -       |   true   |       0       | -      | -                                | Brain's Base           | genre/Award-Winning, genre/Drama, genre/Romance, genre/Supernatural                          | https://myanimelist.net/anime/10408/Hotarubi_no_Mori_e                                                          |   true  | -                                                  |
| Josee to Tora to Sakana-tachi                                              | Josee, the Tiger and the Fish                                                       |   2020  |   Completed   |      ★ 7/10     |     ★ 8.38    | anime-movie | movie | -                                                          | ジョゼと虎と魚たち, Josee, the Tiger and the Fish, Josee to Tora to Sakana-tachi                                                                                                                                                                                                                        | MALAPI      |       -        |      -       | -                   |  1 hr 38 min  |    1     |  false   | -                                      | Drama, Romance                                           |   40787    | https://cdn.myanimelist.net/images/anime/1714/108892.jpg                                                                                |      -       | Equipped with his passion for diving and admiration for marine biology, university student Tsuneo Suzukawa tries his best to juggle several part-time jobs to earn enough money to study abroad. But one night, in a fateful accident, he meets a girl in a wheelchair, driving his current path into a detour. The girl, Kumiko—who prefers to be called "Josee"—initially comes off as rude. Tsuneo, however, is then convinced by Josee's grandmother to take on the paid job to be Josee's caretaker. Despite being annoyed with her bossy demeanor, Tsuneo sees the opportunity to save more funds to support his academic dream. Nonetheless, after putting up with Josee's behavior for some time, Tsuneo tries to quit, only to discover Josee's dreams of traversing the outside world—to experience a life free from her crippling condition. Changing his mind, Tsuneo decides to accompany Josee in exploring the wonders that the world has to offer. Through their time together, the two begin to realize that the traits that bind them may be vital toward fulfilling their respective aspirations. [Written by MAL Rewrite]                                                                                                                         | 12/25/2020 | -       |   true   |       0       | -      | Netflix                          | Bones                  | genre/Drama, genre/Romance                                                                   | https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi                                               |   true  | -                                                  |
| Jujutsu Kaisen 0 Movie                                                     | Jujutsu Kaisen 0                                                                    |   2021  |   Completed   |      ★ 8/10     |     ★ 8.37    | anime-movie | movie | -                                                          | Gekijouban Jujutsu Kaisen 0, Jujutsu Kaisen 0 Movie, Jujutsu Kaisen 0, 劇場版 呪術廻戦 0, JJK 0                                                                                                                                                                                                       | MALAPI      |       -        |      -       | -                   |  1 hr 44 min  |    1     |  false   | [[Jujutsu Kaisen Franchise]]           | Action, Supernatural                                     |   48561    | https://cdn.myanimelist.net/images/anime/1121/119044.jpg                                                                                |      -       | Violent misfortunes frequently occur around 16-year-old Yuuta Okkotsu, a timid victim of high school bullying. Yuuta is saddled with a monstrous curse, a power that dishes out brutal revenge against his bullies. Rika Orimoto, Yuuta's curse, is a shadow from his tragic childhood and a potentially lethal threat to anyone who dares wrong him. Yuuta's unique situation catches the attention of Satoru Gojou, a powerful sorcerer who teaches at Tokyo Prefectural Jujutsu High School. Gojou sees immense potential in Yuuta, and he hopes to help the boy channel his deadly burden into a force for good. Yet Yuuta struggles to find his place among his talented classmates: the selectively mute Toge Inumaki, weapons expert Maki Zenin, and Panda. Yuuta clumsily utilizes Rika on missions with the other first-year students, but the grisly aftermath of Rika's tremendous displays of power draws the interest of the calculating curse user Suguru Getou. As Getou strives to claim Rika's strength and use it to eliminate all non-jujutsu users from the world, Yuuta fights alongside his friends to stop the genocidal plot. [Written by MAL Rewrite]                                                                                        | 12/24/2021 | -       |   true   |       0       | -      | -                                | MAPPA                  | genre/Action, genre/Supernatural                                                             | https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie                                                      |   true  | -                                                  |
